student_id,age,gender,attendance_rate,study_hours_per_week,assignment_score,quiz_score,midterm_score,continuous_assessment,previous_gpa,final_exam_score
STU100000,19,Male,91.0,25.15,72.23,70.3,87.02,78.87,3.0,89.41
STU100001,28,Female,99.08,26.45,89.44,84.94,75.99,83.5,4.0,77.11
STU100002,26,Female,76.32,24.92,59.44,77.36,64.16,82.26,2.6,52.46
STU100003,23,Male,61.32,0.0,43.85,59.33,56.5,57.21,1.69,49.71
STU100004,23,Male,100.0,15.23,100.0,94.22,66.23,88.74,2.65,68.62
STU100005,29,Male,64.8,3.27,73.33,61.73,70.1,59.63,1.67,65.37
STU100006,19,Female,82.06,6.43,89.68,70.31,72.49,70.74,2.85,70.21
STU100007,27,Female,67.38,10.39,85.94,54.75,60.95,61.06,2.55,59.47
STU100008,20,Female,76.88,15.33,80.06,68.77,56.44,51.69,2.06,53.42
STU100009,19,Female,90.64,21.07,82.05,67.3,82.16,82.36,2.67,66.47
STU100010,24,Male,74.83,21.6,79.55,69.11,61.36,76.23,3.27,63.71
STU100011,30,Female,73.81,19.93,71.0,89.6,87.4,86.47,3.7,88.79
STU100012,27,Male,78.05,8.09,65.88,45.27,66.77,66.36,2.49,58.58
STU100013,27,Female,89.9,11.33,77.06,66.93,58.75,65.31,2.96,62.6
STU100014,27,Male,70.64,12.57,71.06,70.08,68.38,61.74,2.74,54.12
STU100015,28,Male,72.72,6.15,68.67,73.98,77.53,73.96,3.18,67.15
STU100016,24,Female,84.95,0.0,52.38,71.59,70.47,79.57,2.33,64.83
STU100017,19,Male,100.0,28.02,77.32,84.01,88.36,86.34,3.11,83.29
STU100018,28,Female,73.2,14.62,73.62,80.19,57.38,78.32,3.01,59.94
STU100019,23,Male,60.24,10.09,45.89,34.07,41.07,48.78,1.1,42.49
STU100020,24,Female,88.26,26.85,92.26,92.6,80.93,79.33,2.84,63.95
STU100021,22,Female,77.86,19.24,65.61,76.54,76.55,69.83,2.37,66.47
STU100022,20,Female,79.34,12.65,82.92,60.67,63.27,67.12,2.39,66.29
STU100023,30,Female,73.67,8.32,59.02,61.13,52.91,66.37,1.59,63.07
STU100024,28,Female,71.74,7.92,75.62,77.5,67.42,71.7,1.52,52.25
STU100025,26,Female,100.0,31.4,77.97,80.25,97.24,100.0,3.25,83.35
STU100026,23,Male,66.2,17.63,77.84,52.87,68.38,69.51,2.11,60.72
STU100027,28,Male,57.46,9.24,45.89,44.15,40.9,40.85,2.0,49.75
STU100028,25,Female,97.14,17.5,75.48,78.02,79.31,69.25,2.67,68.68
STU100029,23,Male,87.7,17.74,93.92,97.67,74.25,80.54,3.31,59.53
STU100030,23,Male,74.16,21.74,81.74,72.04,68.24,75.16,2.74,70.05
STU100031,20,Female,49.25,14.94,55.22,43.44,53.91,45.48,1.98,42.53
STU100032,19,Male,66.92,9.98,56.35,59.83,48.65,70.39,2.35,64.84
STU100033,25,Female,71.64,12.28,48.55,68.34,46.25,53.63,2.2,47.89
STU100034,29,Female,100.0,26.63,71.56,90.41,86.18,89.46,3.15,76.12
STU100035,18,Male,68.84,12.23,63.62,73.99,57.68,69.04,1.87,50.02
STU100036,29,Female,57.79,3.63,47.08,32.37,41.45,47.78,1.84,43.12
STU100037,28,Male,84.38,12.76,62.33,60.85,81.15,86.97,2.25,70.1
STU100038,21,Female,80.11,14.53,71.58,70.23,62.54,68.4,2.7,64.46
STU100039,26,Female,63.85,17.46,67.08,76.26,67.05,57.8,2.3,82.37
STU100040,20,Male,66.37,13.08,61.5,50.7,65.15,65.43,1.51,49.85
STU100041,27,Male,58.72,11.41,53.87,60.04,53.86,68.0,2.06,60.21
STU100042,27,Male,76.06,26.32,77.82,83.78,86.3,80.27,3.11,89.14
STU100043,22,Male,86.42,14.66,71.72,62.4,62.5,75.24,2.69,74.83
STU100044,18,Male,84.86,12.01,84.18,67.94,81.19,84.5,2.79,69.05
STU100045,30,Female,78.35,15.68,68.46,72.55,77.5,71.68,2.39,71.2
STU100046,23,Male,77.66,16.58,60.19,69.97,86.5,72.1,2.87,63.9
STU100047,29,Female,77.39,15.57,64.43,73.06,74.1,73.42,2.03,72.64
STU100048,26,Male,78.35,16.32,66.11,63.62,68.27,67.72,2.02,66.47
STU100049,28,Female,100.0,27.04,69.59,92.16,100.0,76.19,3.32,89.43
STU100050,27,Male,100.0,13.41,82.8,82.19,94.06,85.38,3.54,95.82
STU100051,20,Male,66.41,3.68,51.48,56.46,65.73,49.8,2.1,56.65
STU100052,22,Female,64.46,13.29,69.02,75.51,60.69,68.13,2.32,60.39
STU100053,24,Male,87.22,22.43,84.41,78.4,74.62,88.36,2.24,72.61
STU100054,24,Female,89.2,36.76,86.49,86.94,91.81,79.37,3.96,97.13
STU100055,18,Male,92.83,20.81,94.7,89.19,79.64,88.72,2.71,73.63
STU100056,25,Female,84.09,6.68,61.22,70.12,58.77,68.36,2.31,63.2
STU100057,20,Female,85.12,20.53,82.55,87.52,83.09,83.41,3.88,87.17
