student_id,age,gender,attendance_rate,study_hours_per_week,assignment_score,quiz_score,midterm_score,continuous_assessment,previous_gpa,final_exam_score,assessment_average,performance_trend,attendance_risk,study_efficiency,academic_performance_index,previous_performance_category,assessment_performance_category
STU100000,19,Male,91.0,25.15,72.23,70.3,87.02,78.87,3.0,89.41,77.1,11.68,9.0,3.07,80.85,Medium,High
STU100001,28,Female,99.08,26.45,89.44,84.94,75.99,83.5,4.0,77.11,83.47,-7.44,0.92,3.16,91.46,High,High
STU100002,26,Female,76.32,24.92,59.44,77.36,64.16,82.26,2.6,52.46,70.81,4.81,23.68,2.84,71.3,Medium,High
STU100003,23,Male,61.32,0.0,43.85,59.33,56.5,57.21,1.69,49.71,54.22,5.26,38.68,54.22,53.96,Low,Medium
STU100004,23,Male,100.0,15.23,100.0,94.22,66.23,88.74,2.65,68.62,87.3,-19.62,0.0,5.73,86.9,Medium,High
STU100005,29,Male,64.8,3.27,73.33,61.73,70.1,59.63,1.67,65.37,66.2,-2.67,35.2,20.24,60.89,Low,Medium
STU100006,19,Female,82.06,6.43,89.68,70.31,72.49,70.74,2.85,70.21,75.81,-8.38,17.94,11.79,76.77,Medium,High
STU100007,27,Female,67.38,10.39,85.94,54.75,60.95,61.06,2.55,59.47,65.68,-9.34,32.62,6.32,65.8,Medium,Medium
STU100008,20,Female,76.88,15.33,80.06,68.77,56.44,51.69,2.06,53.42,64.24,-20.35,23.12,4.19,65.48,Medium,Medium
STU100009,19,Female,90.64,21.07,82.05,67.3,82.16,82.36,2.67,66.47,78.47,7.58,9.36,3.72,79.78,Medium,High
STU100010,24,Male,74.83,21.6,79.55,69.11,61.36,76.23,3.27,63.71,71.56,-5.53,25.17,3.31,74.58,High,High
STU100011,30,Female,73.81,19.93,71.0,89.6,87.4,86.47,3.7,88.79,83.62,6.64,26.19,4.2,82.45,High,High
STU100012,27,Male,78.05,8.09,65.88,45.27,66.77,66.36,2.49,58.58,61.07,10.99,21.95,7.55,66.4,Medium,Medium
STU100013,27,Female,89.9,11.33,77.06,66.93,58.75,65.31,2.96,62.6,67.01,-9.97,10.1,5.91,75.28,Medium,Medium
STU100014,27,Male,70.64,12.57,71.06,70.08,68.38,61.74,2.74,54.12,67.82,-5.51,29.36,5.4,68.8,Medium,Medium
STU100015,28,Male,72.72,6.15,68.67,73.98,77.53,73.96,3.18,67.15,73.54,4.42,27.28,11.96,74.49,High,High
STU100016,24,Female,84.95,0.0,52.38,71.59,70.47,79.57,2.33,64.83,68.5,13.03,15.05,68.5,71.39,Medium,Medium
STU100017,19,Male,100.0,28.02,77.32,84.01,88.36,86.34,3.11,83.29,84.01,6.69,0.0,3.0,87.56,High,High
STU100018,28,Female,73.2,14.62,73.62,80.19,57.38,78.32,3.01,59.94,72.38,-9.06,26.8,4.95,73.2,High,High
STU100019,23,Male,60.24,10.09,45.89,34.07,41.07,48.78,1.1,42.49,42.45,4.94,39.76,4.21,44.8,Low,Low
STU100020,24,Female,88.26,26.85,92.26,92.6,80.93,79.33,2.84,63.95,86.28,-12.3,11.74,3.21,83.82,Medium,High
STU100021,22,Female,77.86,19.24,65.61,76.54,76.55,69.83,2.37,66.47,72.13,2.11,22.14,3.75,71.27,Medium,High
