student_id,attendance_risk_component,assessment_performance_risk,trend_risk,gpa_risk,study_behavior_risk,recent_performance_risk,risk_score,risk_level
STU100000,9.0,22.9,35.4,25.0,37.12,21.13,24.18,LOW
STU100001,0.92,16.53,59.3,0.0,33.88,16.5,21.21,LOW
STU100002,23.68,29.19,43.99,35.0,37.7,17.74,31.63,MODERATE
STU100003,38.68,45.78,43.42,57.75,100.0,42.79,50.81,MODERATE
STU100004,0.0,12.7,74.53,33.75,61.92,11.26,30.46,MODERATE
STU100005,35.2,33.8,53.34,58.25,91.82,40.37,48.11,MODERATE
STU100006,17.94,24.19,60.48,28.75,83.93,29.26,37.36,MODERATE
STU100007,32.62,34.32,61.68,36.25,74.02,38.94,44.17,MODERATE
STU100008,23.12,35.76,75.44,48.5,61.68,48.31,46.93,MODERATE
STU100009,9.36,21.53,40.52,33.25,47.32,17.64,26.84,LOW
STU100010,25.17,28.44,56.91,18.25,46.0,23.77,33.24,MODERATE
STU100011,26.19,16.38,41.7,7.5,50.18,13.53,25.17,LOW
STU100012,21.95,38.93,36.26,37.75,79.77,33.64,38.38,MODERATE
STU100013,10.1,32.99,62.46,26.0,71.68,34.69,37.3,MODERATE
STU100014,29.36,32.18,56.89,31.5,68.58,38.26,40.7,MODERATE
STU100015,27.28,26.46,44.47,20.5,84.62,26.04,35.11,MODERATE
STU100016,15.05,31.5,33.71,41.75,100.0,20.43,35.93,MODERATE
STU100017,0.0,15.99,41.64,22.25,29.95,13.66,20.02,LOW
STU100018,26.8,27.62,61.33,24.75,63.45,21.68,36.76,MODERATE
STU100019,39.76,57.55,43.82,72.5,74.78,51.22,54.58,MODERATE
STU100020,11.74,13.72,65.38,29.0,32.88,20.67,28.56,LOW
STU100021,22.14,27.87,47.36,40.75,51.9,30.17,35.19,MODERATE
STU100022,20.66,31.5,58.25,40.25,68.38,32.88,39.82,MODERATE
STU100023,26.33,40.14,50.55,60.25,79.2,33.63,45.73,MODERATE
STU100024,28.26,26.94,58.75,62.0,80.2,28.3,44.29,MODERATE
STU100025,0.0,11.14,25.61,18.75,21.5,0.0,12.87,LOW
STU100026,33.8,32.85,45.51,47.25,55.92,30.49,39.8,MODERATE
STU100027,42.54,57.05,55.18,50.0,76.9,59.15,54.91,MODERATE
STU100028,2.86,24.48,53.09,33.25,56.25,30.75,31.0,MODERATE
STU100029,12.3,13.4,73.0,17.25,55.65,19.46,30.51,MODERATE
STU100030,25.84,25.71,56.49,31.5,45.65,24.84,34.67,MODERATE
STU100031,50.75,50.49,49.55,50.5,62.65,54.52,51.97,MODERATE
STU100032,33.08,41.19,48.21,41.25,75.05,29.61,43.21,MODERATE
STU100033,28.36,45.81,60.64,45.0,69.3,46.37,47.57,MODERATE
STU100034,0.0,15.6,41.46,21.25,33.43,10.54,19.78,LOW
STU100035,31.16,33.92,56.8,53.25,69.42,30.96,44.1,MODERATE
STU100036,42.21,57.83,43.89,54.0,90.92,52.22,54.09,MODERATE
STU100037,15.62,27.18,21.91,43.75,68.1,13.03,28.98,LOW
STU100038,19.89,31.81,56.8,32.5,63.67,31.6,37.69,MODERATE
STU100039,36.15,32.95,61.56,42.5,56.35,42.2,44.01,MODERATE
STU100040,33.63,39.3,38.51,62.25,67.3,34.57,43.78,MODERATE
STU100041,41.28,41.06,45.03,48.5,71.47,32.0,45.15,MODERATE
STU100042,23.94,17.96,46.9,22.25,34.2,19.73,27.39,LOW
STU100043,13.58,32.04,47.74,32.75,63.35,24.76,34.0,MODERATE
STU100044,15.14,20.55,41.52,30.25,69.98,15.5,29.56,LOW
STU100045,21.65,27.45,44.89,40.25,60.8,28.32,35.12,MODERATE
STU100046,22.34,27.81,32.22,28.25,58.55,27.9,30.75,MODERATE
STU100047,22.61,28.75,43.74,49.25,61.08,26.58,36.61,MODERATE
STU100048,21.65,33.57,46.09,49.5,59.2,32.28,38.51,MODERATE
STU100049,0.0,15.52,40.98,17.0,32.4,23.81,20.25,LOW
STU100050,0.0,13.89,40.98,11.5,66.47,14.62,21.5,LOW
STU100051,33.59,44.13,45.25,47.5,90.8,50.2,48.03,MODERATE
STU100052,35.54,31.66,59.82,42.0,66.78,31.87,43.15,MODERATE
STU100053,12.78,18.55,49.89,44.0,43.92,11.64,29.33,LOW
STU100054,10.8,13.85,51.4,1.0,8.1,20.63,18.93,LOW
STU100055,7.17,11.94,59.7,32.25,47.98,11.28,27.12,LOW
STU100056,15.91,35.38,52.64,42.25,83.3,31.64,40.39,MODERATE
STU100057,14.88,15.86,52.22,3.0,48.68,16.59,24.36,LOW
STU100058,40.04,32.77,29.96,35.5,70.95,28.87,37.5,MODERATE
STU100059,2.96,19.63,32.54,22.0,57.92,17.76,22.88,LOW
STU100060,17.93,24.84,36.22,24.25,50.1,17.45,27.43,LOW
STU100061,31.02,43.96,40.55,51.5,69.18,29.31,42.88,MODERATE
STU100062,24.76,20.44,31.72,10.0,52.75,18.8,25.06,LOW
STU100063,13.34,21.46,63.77,32.25,58.15,18.93,33.33,MODERATE
STU100064,12.67,34.34,64.91,46.25,65.25,32.96,40.86,MODERATE
STU100065,35.53,27.83,59.82,43.5,79.18,33.09,43.78,MODERATE
STU100066,42.21,40.13,66.94,42.0,73.77,41.93,49.73,MODERATE
STU100067,11.47,31.99,39.16,34.0,33.85,28.76,29.48,LOW
STU100068,25.25,30.0,53.92,31.25,79.3,15.19,37.47,MODERATE
STU100069,31.13,31.68,57.95,39.75,73.47,17.67,40.81,MODERATE
STU100070,25.78,34.83,29.87,37.0,77.12,32.29,36.33,MODERATE
STU100071,15.87,26.55,58.25,26.75,59.4,42.73,35.69,MODERATE
STU100072,13.97,27.82,53.32,32.0,71.95,27.53,35.16,MODERATE
STU100073,0.57,31.83,55.15,34.75,79.22,27.82,35.02,MODERATE
STU100074,39.29,49.17,48.79,63.25,73.65,40.75,50.84,MODERATE
STU100075,6.69,18.76,46.82,19.25,44.15,15.46,24.24,LOW
STU100076,18.28,29.83,48.95,40.25,68.12,20.25,35.78,MODERATE
STU100077,37.05,49.01,49.5,29.25,77.53,46.71,46.37,MODERATE
STU100078,64.22,53.58,58.4,73.0,62.4,50.58,60.17,HIGH
STU100079,10.02,23.16,70.9,20.5,49.35,28.87,32.87,MODERATE
STU100080,6.65,21.49,37.59,43.75,77.1,19.66,30.46,MODERATE
STU100081,31.19,30.76,37.09,33.75,62.4,20.08,34.66,MODERATE
STU100082,19.51,25.72,33.98,29.25,61.68,12.0,28.88,LOW
STU100083,16.32,19.63,85.62,20.75,56.25,30.44,37.08,MODERATE
STU100084,16.69,21.02,49.69,29.0,81.55,19.9,33.03,MODERATE
STU100085,6.03,31.38,65.36,28.25,72.52,29.71,36.58,MODERATE
STU100086,33.48,34.07,49.25,31.0,75.43,35.11,40.77,MODERATE
STU100087,16.22,30.58,45.74,32.75,56.95,22.1,32.85,MODERATE
STU100088,5.19,14.98,45.2,28.25,33.88,12.44,22.69,LOW
STU100089,25.64,40.69,42.05,46.0,42.65,29.04,37.78,MODERATE
STU100090,4.66,22.35,50.69,16.5,35.0,29.66,25.6,LOW
STU100091,21.24,23.5,56.69,31.5,69.2,24.03,35.51,MODERATE
STU100092,0.0,24.18,54.62,30.5,48.45,26.6,29.05,LOW
STU100093,0.0,2.8,44.47,12.0,8.93,1.19,12.41,LOW
STU100094,5.82,12.27,43.58,4.25,51.72,12.67,20.02,LOW
STU100095,0.0,29.48,0.0,29.5,50.62,0.0,16.86,LOW
